Player,G,FG.,TRB,AST.x,PS.G,WEIGHT,heightnum
Aaron Brooks,32,0.406,0.5,0.6,2.3,161,72
Aaron Jackson,1,0.333,3,1,8,183,75
Abdel Nader,48,0.336,1.5,0.5,3,230,78
Al Horford,72,0.489,7.4,4.7,12.9,245,72
Al-Farouq Aminu,69,0.395,7.6,1.2,9.3,220,81
Alec Burks,64,0.411,3,1,7.7,214,78
Alex Abrines,75,0.395,1.5,0.4,4.7,190,78
Amir Johnson,74,0.538,4.5,1.6,4.6,240,81
Andre Iguodala,64,0.463,3.8,3.3,6,215,78
Andrew Wiggins,82,0.438,4.4,2,17.7,202,80
Ante Zizic,32,0.731,1.9,0.2,3.7,250,73
Anthony Davis,75,0.534,11.1,2.3,28.1,253,72
Aron Baynes,81,0.471,5.4,1.1,6,260,72
Bam Adebayo,69,0.512,5.5,1.5,6.9,255,72
Ben Simmons,81,0.545,8.1,8.2,15.8,230,72
Bojan Bogdanovic,80,0.474,3.4,1.5,14.3,230,80
Bradley Beal,82,0.46,4.4,4.5,22.6,207,77
Brandon Jennings,14,0.375,2.2,3.1,5.2,170,73
Brandon Paul,64,0.433,1.1,0.6,2.3,200,76
Bryn Forbes,80,0.421,1.4,1,6.9,190,75
Caleb Swanigan,27,0.4,2,0.5,2.3,250,80
Carmelo Anthony,78,0.404,5.8,1.3,16.2,240,80
Cedi Osman,61,0.484,2,0.7,3.9,215,80
Cheick Diallo,52,0.58,4.1,0.4,4.9,220,81
Chinanu Onuaku,1,0.4,4,1,4,245,72
Chris Paul,58,0.46,5.4,7.9,18.6,175,72
Clint Capela,74,0.652,10.8,0.9,13.9,240,72
Corey Brewer,54,0.453,1.7,0.8,3.7,186,81
Corey Brewer,72,0.449,2.1,0.9,5.3,186,81
Corey Brewer,18,0.444,3.4,1.3,10.1,186,81
Cory Joseph,82,0.424,3.2,3.2,7.9,190,75
Dakari Johnson,31,0.564,1.1,0.3,1.8,255,84
Damian Jones,15,0.5,0.9,0.1,1.7,245,84
Damian Lillard,73,0.439,4.5,6.6,26.9,195,75
Danny Green,70,0.387,3.6,1.6,8.6,215,78
Dante Exum,14,0.483,1.9,3.1,8.1,190,78
Dario Saric,78,0.453,6.7,2.6,14.6,223,72
Darius Miller,82,0.444,2,1.4,7.8,225,80
Darren Collison,69,0.495,2.6,5.3,12.4,185,74
David Stockton,3,0.667,0,0,3.3,165,61
David West,73,0.571,3.3,1.9,6.8,250,81
Davis Bertans,77,0.44,2,1,5.9,210,72
DeAndre Liggins,58,0.377,1.3,0.8,1.7,209,78
DeAndre Liggins,31,0.338,1.6,0.9,1.8,209,78
DeAndre Liggins,27,0.439,1,0.8,1.6,209,78
Dejounte Murray,81,0.443,5.7,2.9,8.1,170,77
Delon Wright,69,0.465,2.9,2.9,8,190,77
DeMar DeRozan,80,0.456,3.9,5.2,23,220,79
Derrick Favors,77,0.563,7.2,1.3,12.3,265,72
Derrick Rose,16,0.439,1.8,1.6,9.8,190,75
Derrick Rose,25,0.435,1.4,1.5,8.4,190,75
Derrick Rose,9,0.426,0.7,1.2,5.8,190,75
Derrick White,17,0.485,1.5,0.5,3.2,190,76
Domantas Sabonis,74,0.514,7.7,2,11.6,252,72
Donovan Mitchell,79,0.437,3.7,3.7,20.5,215,75
Draymond Green,70,0.454,7.6,7.3,11,230,79
Dwyane Wade,46,0.455,3.9,3.5,11.2,220,76
Dwyane Wade,21,0.409,3.4,3.1,12,220,76
Dwyane Wade,67,0.438,3.8,3.4,11.4,220,76
E'Twaun Moore,82,0.508,2.9,2.3,12.5,191,76
Ed Davis,78,0.582,7.4,0.5,5.3,245,72
Ekpe Udoh,63,0.5,2.4,0.8,2.6,245,72
Emeka Okafor,26,0.505,4.6,0.3,4.4,255,72
Eric Bledsoe,3,0.4,2.3,3,15.7,205,73
Eric Bledsoe,71,0.476,3.9,5.1,17.8,205,73
Eric Bledsoe,74,0.473,3.8,5,17.7,205,73
Eric Gordon,69,0.428,2.5,2.2,18,215,76
Ersan Ilyasova,23,0.439,6.7,1.7,10.8,235,72
Ersan Ilyasova,46,0.459,5.5,1.1,10.9,235,72
Ersan Ilyasova,69,0.452,5.9,1.3,10.9,235,72
Evan Turner,79,0.447,3.1,2.2,8.2,220,79
Fred VanVleet,76,0.426,2.4,3.2,8.6,195,72
Furkan Korkmaz,14,0.286,0.8,0.3,1.6,190,79
George Hill,67,0.46,2.7,2.8,10,188,75
George Hill,24,0.444,2.7,2.8,9.4,188,75
George Hill,43,0.469,2.7,2.8,10.3,188,75
Gerald Green,41,0.407,3.2,0.6,12.1,205,79
Giannis Antetokounmpo,75,0.529,10,4.8,26.9,222,73
Goran Dragic,75,0.45,4.1,4.8,17.3,190,75
Gorgui Dieng,79,0.479,4.6,0.9,5.9,251,73
Greg Monroe,20,0.626,8,2.5,11.3,265,73
Greg Monroe,26,0.53,6.3,2.3,10.2,265,73
Greg Monroe,51,0.565,6.9,2.2,10.3,265,73
Greg Monroe,5,0.485,5,1,6.8,265,73
Guerschon Yabusele,33,0.426,1.6,0.5,2.4,260,80
Hassan Whiteside,54,0.54,11.4,1,14,265,84
Ian Clark,74,0.448,1.7,1.5,7.4,175,75
Ian Mahinmi,77,0.556,4.1,0.7,4.8,262,73
Jabari Parker,31,0.482,4.9,1.9,12.6,250,80
Jae Crowder,27,0.386,3.8,1.5,11.8,235,78
Jae Crowder,53,0.418,3.3,1.1,8.6,235,78
Jae Crowder,80,0.404,3.4,1.2,9.7,235,78
Jake Layman,35,0.298,0.5,0.3,1,210,81
Jakob Poeltl,82,0.659,4.8,0.7,6.9,230,84
Jamal Crawford,80,0.415,1.2,2.3,10.3,185,77
James Harden,72,0.449,5.4,8.8,30.4,220,77
James Johnson,73,0.503,4.9,3.8,10.8,240,80
Jason Smith,33,0.391,1.6,0.4,3.4,240,84
Jason Terry,51,0.383,0.9,1.2,3.3,185,74
JaVale McGee,65,0.621,2.6,0.5,4.8,270,84
Jaylen Brown,70,0.465,4.9,1.6,14.5,225,79
Jayson Tatum,80,0.475,5,1.6,13.9,205,80
Jeff Green,78,0.477,3.2,1.3,10.8,235,81
Jeff Teague,70,0.446,3,7,14.2,189,74
