"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"Aaron Brooks",33,"MIN",32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.5,0.6,0.2,0,0.3,0.9,2.3,"MIN",33,"6-0",161,"1","26",2,2,0,0,0,"0.0%","0.0%","56.4%","51.5%","0.0%",72
"Aaron Jackson",31,"HOU",1,0,35,3,9,0.333,1,4,0.25,2,5,0.4,0.389,1,2,0.5,2,1,3,1,0,0,1,4,8,"HOU",32,"6-3",183,"Undrafted","Undrafted",6,0.8,0.5,0.2,-9.8,"15.4%","6.7%","23.1%","51.2%","12.5%",75
"Abdel Nader",24,"BOS",48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3,"BOS",24,"6-6",230,"2","58",9,1.3,0.3,0.3,-21.6,"3.6%","7.1%","28.3%","35.8%","21.4%",78
"Al Horford",31,"BOS",72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,"BOS",31,"6-10",245,"1","3",16,16.3,8.3,3.4,4.9,"5.4%","21.3%","18.8%","64.5%","16.1%",72
"Al-Farouq Aminu",27,"POR",69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,"POR",27,"6-9",220,"1","8",4,17.3,9,1.3,-16.3,"8.7%","22.0%","18.8%","65.2%","6.2%",81
"Alec Burks",26,"UTA",64,1,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.9,4.3,0.452,0.467,1.7,1.9,0.863,0.3,2.7,3,1,0.6,0.1,0.9,1.2,7.7,"UTA",26,"6-6",214,"1","12",9,9.1,2.7,1.9,1.6,"1.8%","21.0%","28.8%","58.1%","23.6%",78
"Alex Abrines",24,"OKC",75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,"OKC",24,"6-6",190,"2","32",6,4,2.7,0.3,8.5,"3.2%","11.6%","8.9%","57.5%","2.4%",78
"Amir Johnson",30,"PHI",74,18,15.8,1.9,3.5,0.538,0.1,0.4,0.313,1.8,3.1,0.57,0.558,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6,"PHI",31,"6-9",240,"2","56",8,3.3,2.9,1.1,6.5,"14.1%","12.0%","11.0%","56.0%","13.6%",81
"Andre Iguodala",34,"GSW",64,7,25.3,2.3,5,0.463,0.5,1.8,0.282,1.8,3.2,0.567,0.514,0.9,1.4,0.632,0.8,3.1,3.8,3.3,0.8,0.6,1,1.5,6,"GSW",34,"6-6",215,"1","9",13,7.9,4.9,3.1,13.6,"3.2%","15.6%","12.5%","59.1%","14.4%",78
"Andrew Wiggins",22,"MIN",82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,2,17.7,"MIN",23,"6-8",202,"1","1",5,15.8,5.2,2,-15.4,"3.3%","13.2%","23.6%","51.4%","10.6%",80
"Ante Zizic",21,"CLE",32,2,6.7,1.5,2.1,0.731,0,0,NA,1.5,2.1,0.731,0.731,0.7,0.9,0.724,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7,"CLE",21,"6-11",250,"1","23",4,1,1.3,0.3,-3.1,"0.0%","33.3%","29.1%","25.8%","12.5%",73
"Anthony Davis",24,"NOP",75,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,"NOP",25,"6-10",253,"1","1",9,30.1,13.4,1.7,0.4,"7.2%","26.8%","30.1%","58.4%","6.9%",72
"Aron Baynes",31,"BOS",81,67,18.3,2.6,5.5,0.471,0,0.3,0.143,2.6,5.2,0.487,0.474,0.7,1,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,"BOS",31,"6-10",260,"Undrafted","Undrafted",16,6.6,6.4,1.1,-1.7,"13.3%","22.1%","13.3%","60.2%","8.2%",72
"Bam Adebayo",20,"MIA",69,19,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,"MIA",20,"6-10",255,"1","14",5,3.4,4,0,-11,"11.8%","14.9%","13.0%","40.2%","0.0%",72
"Ben Simmons",21,"PHI",81,81,33.7,6.7,12.3,0.545,0,0.1,0,6.7,12.2,0.551,0.545,2.4,4.2,0.56,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8,"PHI",21,"6-10",230,"1","1",10,16.3,9.4,7.7,-4.5,"4.5%","24.7%","22.1%","54.1%","34.5%",72
