"C.Brewer, K.Love, K.Martin, N.Pekovic, R.Rubio",5.3
"P.George, R.Hibbert, G.Hill, L.Stephenson, D.West",3.8
"L.Aldridge, N.Batum, D.Lillard, R.Lopez, W.Matthews",3.1
"A.Bogut, S.Curry, A.Iguodala, D.Lee, K.Thompson",5.8
"L.Deng, S.Hawes, K.Irving, J.Jack, T.Thompson",0.7
"J.Dudley, B.Griffin, D.Jordan, C.Paul, J.Redick",2.9
"P.Beverley, J.Harden, D.Howard, T.Jones, C.Parsons",2.0
"K.Durant, S.Ibaka, R.Jackson, K.Perkins, T.Sefolosha",2.5
"A.Aminu, R.Anderson, E.Gordon, J.Holiday, J.Smith",-0.2
"M.Conley, M.Gasol, C.Lee, T.Prince, Z.Randolph",2.7
"J.Anderson, M.Carter-Williams, S.Hawes, E.Turner, T.Young",-3.7
"D.Carroll, A.Horford, K.Korver, P.Millsap, J.Teague",0.2
"C.Boozer, J.Butler, L.Deng, J.Noah, D.Rose",3.5
"C.Boozer, J.Butler, M.Dunleavy, K.Hinrich, J.Noah",1.9
"C.Boozer, L.Deng, K.Hinrich, J.Noah, T.Snell",-0.8
"G.Henderson, A.Jefferson, M.Kidd-Gilchrist, J.McRoberts, K.Walker",2.8
"D.Cousins, L.Mbah a Moute, B.McLemore, J.Thompson, G.Vasquez",0.4
"L.Deng, S.Hawes, J.Jack, T.Thompson, D.Waiters",-2.9
"L.Deng, K.Irving, C.Miles, T.Thompson, A.Varejao",1.4
"K.Durant, S.Ibaka, K.Perkins, T.Sefolosha, R.Westbrook",-1.2
"N.Batum, D.Lillard, R.Lopez, W.Matthews, D.Wright",1.6
"J.Anderson, M.Carter-Williams, H.Sims, H.Thompson, T.Young",-2.7
"C.Brewer, G.Dieng, K.Love, K.Martin, R.Rubio",-0.2
"A.Afflalo, M.Harkless, J.Maxiell, J.Nelson, N.Vucevic",-2.2
"T.Ariza, B.Beal, T.Booker, M.Gortat, J.Wall",0.3
"S.Blake, P.Gasol, J.Hill, W.Johnson, J.Meeks",-2.2
"D.Cousins, R.Evans, R.Gay, B.McLemore, I.Thomas",1.4
"E.Ilyasova, B.Knight, K.Middleton, Z.Pachulia, N.Wolters",-1.0
"K.Bazemore, P.Gasol, W.Johnson, K.Marshall, J.Meeks",-3.7
"J.Henson, B.Knight, K.Middleton, Z.Pachulia, N.Wolters",-0.3
"D.Cousins, P.Patterson, J.Salmons, M.Thornton, G.Vasquez",-6.3
"D.DeRozan, R.Gay, A.Johnson, K.Lowry, J.Valanciunas",-2.4
"B.Bass, A.Bradley, J.Crawford, J.Green, J.Sullinger",-1.2
"E.Clark, K.Irving, T.Thompson, A.Varejao, D.Waiters",0.3
"M.Barnes, D.Collison, B.Griffin, D.Jordan, J.Redick",1.1
"P.Gasol, W.Johnson, R.Kelly, K.Marshall, J.Meeks",-0.4
"J.Adrien, B.Knight, K.Middleton, Z.Pachulia, R.Sessions",-3.7
"T.Burke, D.Favors, G.Hayward, R.Jefferson, M.Williams",-0.1
"D.DeRozan, A.Johnson, K.Lowry, T.Ross, J.Valanciunas",0.8
"K.Caldwell-Pope, A.Drummond, B.Jennings, G.Monroe, J.Smith",-1.3
"A.Bynum, A.Gee, K.Irving, C.Miles, T.Thompson",0.5
"A.Aminu, A.Davis, E.Gordon, J.Holiday, J.Smith",0.2
"T.Ariza, B.Beal, M.Gortat, N.Hilario, J.Wall",2.6
"E.Bledsoe, G.Dragic, C.Frye, M.Plumlee, P.Tucker",3.3
"P.Antic, D.Carroll, K.Korver, P.Millsap, J.Teague",1.3
"S.Battier, C.Bosh, M.Chalmers, L.James, D.Wade",1.4
"W.Chandler, K.Faried, R.Foye, J.Hickson, T.Lawson",0.5
"J.Calderon, S.Dalembert, M.Ellis, S.Marion, D.Nowitzki",-0.1
"G.Antetokounmpo, E.Ilyasova, B.Knight, L.Ridnour, L.Sanders",0.2
"D.Cousins, R.Gay, I.Thomas, J.Thompson, M.Thornton",3.1
"G.Davis, M.Harkless, T.Harris, J.Nelson, V.Oladipo",2.2
"A.Afflalo, G.Davis, T.Harris, J.Nelson, V.Oladipo",-4.8
"A.Afflalo, G.Davis, T.Harris, J.Nelson, N.Vucevic",-0.5
"A.Afflalo, M.Harkless, J.Nelson, K.O'Quinn, N.Vucevic",-2.6
"D.Cousins, R.Gay, B.McLemore, I.Thomas, J.Thompson",-1.3
"G.Dragic, C.Frye, G.Green, M.Plumlee, P.Tucker",0.1
"M.Barnes, D.Collison, B.Griffin, D.Jordan, C.Paul",3.4
"S.Battier, C.Bosh, M.Chalmers, T.Douglas, L.James",1.1
"C.Anthony, A.Bargnani, T.Chandler, R.Felton, I.Shumpert",-5.1
"C.Anthony, T.Chandler, R.Felton, J.Smith, A.Stoudemire",0.4
"K.Durant, S.Ibaka, K.Perkins, A.Roberson, R.Westbrook",2.8
"T.Allen, M.Conley, M.Gasol, T.Prince, Z.Randolph",1.3
"T.Allen, M.Conley, K.Koufos, T.Prince, Z.Randolph",0.1
"C.Anthony, A.Bargnani, R.Felton, K.Martin, I.Shumpert",1.6
"C.Bosh, M.Chalmers, U.Haslem, L.James, D.Wade",-3.0
"B.Bass, J.Green, R.Rondo, J.Sullinger, G.Wallace",-1.7
"B.Biyombo, G.Henderson, M.Kidd-Gilchrist, J.McRoberts, K.Walker",-1.3
"D.Cousins, R.Evans, R.Gay, R.McCallum, B.McLemore",-4.0
"A.Drummond, B.Jennings, G.Monroe, K.Singler, J.Smith",-2.0
"J.Adrien, G.Antetokounmpo, J.Henson, O.Mayo, R.Sessions",0.6
"J.Johnson, S.Livingston, P.Pierce, M.Plumlee, D.Williams",0.7
"L.Deng, K.Irving, J.Jack, T.Thompson, T.Zeller",1.2
"C.Bosh, M.Chalmers, T.Douglas, U.Haslem, L.James",2.9
"E.Clark, K.Irving, C.Miles, T.Thompson, A.Varejao",1.7
"J.Dudley, W.Green, B.Griffin, D.Jordan, C.Paul",0.2
"J.Harden, D.Howard, T.Jones, J.Lin, C.Parsons",1.0
"G.Ayon, D.Carroll, K.Korver, P.Millsap, J.Teague",1.2
"S.Hawes, H.Thompson, E.Turner, T.Wroten, T.Young",-3.0
"K.Garnett, J.Johnson, S.Livingston, P.Pierce, D.Williams",3.4
"G.Henderson, A.Jefferson, J.McRoberts, J.Taylor, K.Walker",0.5
"K.Faried, R.Foye, T.Lawson, Q.Miller, T.Mozgov",-3.5
"J.Henson, B.Knight, O.Mayo, K.Middleton, E.Udoh",-4.4
"H.Barnes, A.Bogut, A.Iguodala, D.Lee, K.Thompson",0.3
"M.Barnes, J.Crawford, B.Griffin, D.Jordan, C.Paul",3.9
"P.Beverley, D.Howard, T.Jones, J.Lin, C.Parsons",-0.5
"C.Anthony, A.Bargnani, K.Martin, I.Shumpert, B.Udrih",-0.4
"C.Anthony, T.Chandler, R.Felton, P.Prigioni, I.Shumpert",2.6
"C.Douglas-Roberts, G.Henderson, A.Jefferson, J.McRoberts, K.Walker",-0.7
"A.Afflalo, G.Davis, J.Nelson, V.Oladipo, N.Vucevic",0.1
"C.Brewer, K.Love, K.Martin, R.Rubio, R.Turiaf",-0.4
"L.Deng, S.Hawes, K.Irving, T.Thompson, D.Waiters",-0.3
"A.Anderson, K.Garnett, J.Johnson, S.Livingston, P.Pierce",1.0
"T.Burke, D.Favors, G.Hayward, R.Jefferson, E.Kanter",-2.7
"B.Bass, A.Bradley, J.Green, R.Rondo, J.Sullinger",-0.7
"G.Henderson, A.Jefferson, J.McRoberts, A.Tolliver, K.Walker",-0.1
"A.Brooks, K.Faried, R.Foye, Q.Miller, T.Mozgov",-1.6
"M.Carter-Williams, S.Hawes, H.Thompson, E.Turner, T.Young",-1.4
"S.Curry, D.Green, A.Iguodala, J.O'Neal, K.Thompson",1.4
"K.Garnett, J.Johnson, B.Lopez, P.Pierce, D.Williams",-1.4
"B.Bass, J.Bayless, J.Green, K.Humphries, R.Rondo",-3.2
"B.Beal, D.Gooden, A.Harrington, A.Miller, M.Webster",1.9
"H.Barnes, A.Bogut, S.Curry, D.Lee, K.Thompson",-1.0
"W.Chandler, K.Faried, R.Foye, T.Lawson, T.Mozgov",2.4
"P.Antic, D.Carroll, S.Mack, P.Millsap, J.Teague",0.1
"B.Bass, A.Bradley, V.Faverani, J.Green, G.Wallace",-0.9
"C.Brewer, C.Budinger, K.Love, R.Rubio, R.Turiaf",1.9
"T.Duncan, D.Green, K.Leonard, T.Parker, T.Splitter",2.4
"B.Beal, M.Gortat, N.Hilario, J.Wall, M.Webster",1.9
"A.Ajinca, A.Aminu, A.Davis, E.Gordon, B.Roberts",-2.6
"M.Barnes, B.Griffin, D.Jordan, C.Paul, J.Redick",1.9
"D.Collison, J.Dudley, B.Griffin, D.Jordan, J.Redick",2.6
"S.Adams, K.Durant, S.Ibaka, P.Jones, R.Westbrook",3.8
