Player,TEAM,AGE,HEIGHT,WEIGHT,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,heightnum
Aaron Brooks,MIN,33,6-0,161,1,26,2,2.0,0.0,0.0,0.0,0.0%,0.0%,56.4%,51.5%,0.0%,72
Aaron Jackson,HOU,32,6-3,183,Undrafted,Undrafted,6,0.8,0.5,0.2,-9.8,15.4%,6.7%,23.1%,51.2%,12.5%,75
Abdel Nader,BOS,24,6-6,230,2,58,9,1.3,0.3,0.3,-21.6,3.6%,7.1%,28.3%,35.8%,21.4%,78
Al Horford,BOS,31,6-10,245,1,3,16,16.3,8.3,3.4,4.9,5.4%,21.3%,18.8%,64.5%,16.1%,72
Al-Farouq Aminu,POR,27,6-9,220,1,8,4,17.3,9.0,1.3,-16.3,8.7%,22.0%,18.8%,65.2%,6.2%,81
Alec Burks,UTA,26,6-6,214,1,12,9,9.1,2.7,1.9,1.6,1.8%,21.0%,28.8%,58.1%,23.6%,78
Alex Abrines,OKC,24,6-6,190,2,32,6,4.0,2.7,0.3,8.5,3.2%,11.6%,8.9%,57.5%,2.4%,78
Amir Johnson,PHI,31,6-9,240,2,56,8,3.3,2.9,1.1,6.5,14.1%,12.0%,11.0%,56.0%,13.6%,81
Andre Iguodala,GSW,34,6-6,215,1,9,13,7.9,4.9,3.1,13.6,3.2%,15.6%,12.5%,59.1%,14.4%,78
Andrew Wiggins,MIN,23,6-8,202,1,1,5,15.8,5.2,2.0,-15.4,3.3%,13.2%,23.6%,51.4%,10.6%,80
Ante Zizic,CLE,21,6-11,250,1,23,4,1.0,1.3,0.3,-3.1,0.0%,33.3%,29.1%,25.8%,12.5%,73
Anthony Davis,NOP,25,6-10,253,1,1,9,30.1,13.4,1.7,0.4,7.2%,26.8%,30.1%,58.4%,6.9%,72
Aron Baynes,BOS,31,6-10,260,Undrafted,Undrafted,16,6.6,6.4,1.1,-1.7,13.3%,22.1%,13.3%,60.2%,8.2%,72
